Subject,Cat #,Section,Code,Instructor
EMD,440,1,EMD 440 1,"Leetch,Aaron N"
EMD,440,1,EMD 440 1,"Mendelson,Jenny S"
EMD,440,1,EMD 440 1,"Waters,Kristina E"
EMD,440,401,EMD 440 401,"Leetch,Aaron N"
EMD,440,401,EMD 440 401,"Mendelson,Jenny S"
EMD,440,401,EMD 440 401,"Waters,Kristina E"
ENGL,160D1,110,ENGL 160D1 110,"Abraham,Matthew"
ENGL,160D1,410,ENGL 160D1 410,"Abraham,Matthew"
ENGL,248B,102,ENGL 248B 102,"Bernheimer,Kathryn S"
ENGL,248B,102,ENGL 248B 102,"Bussing,Kimberly Anne"
ENGL,248B,102,ENGL 248B 102,"Davis,Claire E"
ENGL,248B,102,ENGL 248B 102,"Ivanov,Katerina"
ENGL,248B,402,ENGL 248B 402,"Bernheimer,Kathryn S"
ENGL,248B,402,ENGL 248B 402,"Bussing,Kimberly Anne"
ENGL,248B,402,ENGL 248B 402,"Davis,Claire E"
ENGL,248B,402,ENGL 248B 402,"Ivanov,Katerina"
ENGL,280,101,ENGL 280 101,"Zhang,Ruixue"
ENGL,280,401,ENGL 280 401,"Zhang,Ruixue"
ENGL,306,110,ENGL 306 110,-
ENGL,306,410,ENGL 306 410,-
ENGL,308,110,ENGL 308 110,-
ENGL,308,410,ENGL 308 410,-
ENGL,342,101,ENGL 342 101,"Abana,Yuxuf A"
ENGL,342,102,ENGL 342 102,"Abana,Yuxuf A"
ENGL,342,401,ENGL 342 401,"Abana,Yuxuf A"
ENGL,342,402,ENGL 342 402,"Abana,Yuxuf A"
ENGL,414,110,ENGL 414 110,-
ENGL,414,410,ENGL 414 410,-
ENGL,514,110,ENGL 514 110,-
ENGL,514,410,ENGL 514 410,-
ENGL,620,101,ENGL 620 101,"Tardy,Christine"
ENGL,620,401,ENGL 620 401,"Tardy,Christine"
ENTO,468,101,ENTO 468 101,"Li,Xianchun"
ENTO,468,401,ENTO 468 401,"Li,Xianchun"
EPID,309,101,EPID 309 101,"Brown,Heidi E"
EPID,309,403,EPID 309 403,"Brown,Heidi E"
ESOC,210,101,ESOC 210 101,"Seng,Dave E"
ESOC,210,401,ESOC 210 401,"Seng,Dave E"
ESOC,211,101,ESOC 211 101,"Forsythe,Christopher"
ESOC,211,401,ESOC 211 401,"Forsythe,Christopher"
ESOC,212,101,ESOC 212 101,"Lyons,Emily Renee"
ESOC,212,401,ESOC 212 401,"Lyons,Emily Renee"
ESOC,213,101,ESOC 213 101,"Smith,Sean W"
ESOC,213,101,ESOC 213 101,"Smith,Sean W"
ESOC,213,401,ESOC 213 401,"Smith,Sean W"
ESOC,213,401,ESOC 213 401,"Smith,Sean W"
ESOC,300,101,ESOC 300 101,"Gregerman,Debra M"
ESOC,300,101,ESOC 300 101,"Gregerman,Debra M"
ESOC,300,401,ESOC 300 401,"Gregerman,Debra M"
ESOC,300,401,ESOC 300 401,"Gregerman,Debra M"
ESOC,300,401,ESOC 300 401,"Gregerman,Debra M"
ESOC,313,101,ESOC 313 101,"Reynolds,Renee Helen"
ESOC,313,401,ESOC 313 401,"Reynolds,Renee Helen"
ESOC,314,101,ESOC 314 101,"Rushbrook,Dereka A"
ESOC,314,101,ESOC 314 101,"Braitberg,Victor E"
